id.auto()	student_id.auto()	subject_id.auto()	mark.auto()	created_at.auto()
2007	59444	511	1	2021-10-06 08:59:10.098312
2008	12941	901	4	2021-10-06 08:59:10.098312
2009	90515	435	3	2021-10-06 08:59:10.098312
2010	85868	297	4	2021-10-06 08:59:10.098312
2011	74894	829	1	2021-10-06 08:59:10.098312
2012	76058	526	2	2021-10-06 08:59:10.098312
2013	37449	874	3	2021-10-06 08:59:10.098312
2014	41739	278	2	2021-10-06 08:59:10.098312
2015	68864	900	5	2021-10-06 08:59:10.098312
2016	99840	296	2	2021-10-06 08:59:10.098312
2017	57846	5	0	2021-10-06 08:59:10.098312
2018	924	535	4	2021-10-06 08:59:10.098312
2019	98240	559	4	2021-10-06 08:59:10.098312
2020	18988	570	2	2021-10-06 08:59:10.098312
2021	58528	522	2	2021-10-06 08:59:10.098312
2022	35258	219	0	2021-10-06 08:59:10.098312
2023	40442	790	1	2021-10-06 08:59:10.098312
2024	76338	707	0	2021-10-06 08:59:10.098312
2025	49635	215	3	2021-10-06 08:59:10.098312
2026	16960	302	4	2021-10-06 08:59:10.098312
2027	21740	658	1	2021-10-06 08:59:10.098312
2028	56441	432	2	2021-10-06 08:59:10.098312
2029	43747	836	0	2021-10-06 08:59:10.098312
2030	44676	920	4	2021-10-06 08:59:10.098312
2031	93002	776	2	2021-10-06 08:59:10.098312
2032	65667	881	3	2021-10-06 08:59:10.098312
2033	52274	999	2	2021-10-06 08:59:10.098312
2034	66432	939	4	2021-10-06 08:59:10.098312
2035	51862	598	3	2021-10-06 08:59:10.098312
2036	74050	689	5	2021-10-06 08:59:10.098312
2037	58028	448	1	2021-10-06 08:59:10.098312
2038	47563	925	2	2021-10-06 08:59:10.098312
2039	58308	895	4	2021-10-06 08:59:10.098312
2040	45835	910	2	2021-10-06 08:59:10.098312
2041	48614	486	2	2021-10-06 08:59:10.098312
2042	52244	289	4	2021-10-06 08:59:10.098312
2043	66131	502	3	2021-10-06 08:59:10.098312
2044	86440	944	5	2021-10-06 08:59:10.098312
2045	96033	259	3	2021-10-06 08:59:10.098312
2046	87480	313	4	2021-10-06 08:59:10.098312
2047	51019	339	2	2021-10-06 08:59:10.098312
2048	76090	509	3	2021-10-06 08:59:10.098312
2049	79773	524	4	2021-10-06 08:59:10.098312
2050	59783	315	2	2021-10-06 08:59:10.098312
2051	97576	782	0	2021-10-06 08:59:10.098312
2052	42330	1	5	2021-10-06 08:59:10.098312
2053	68021	592	4	2021-10-06 08:59:10.098312
2054	59698	496	0	2021-10-06 08:59:10.098312
2055	80659	825	0	2021-10-06 08:59:10.098312
2056	6237	847	2	2021-10-06 08:59:10.098312
2057	61911	27	1	2021-10-06 08:59:10.098312
2058	20415	984	0	2021-10-06 08:59:10.098312
2059	78720	15	2	2021-10-06 08:59:10.098312
2060	71097	839	2	2021-10-06 08:59:10.098312
2061	44972	561	3	2021-10-06 08:59:10.098312
2062	69384	63	2	2021-10-06 08:59:10.098312
2063	8352	330	4	2021-10-06 08:59:10.098312
2064	88270	996	1	2021-10-06 08:59:10.098312
2065	35698	565	5	2021-10-06 08:59:10.098312
2066	72237	135	4	2021-10-06 08:59:10.098312
2067	73182	564	5	2021-10-06 08:59:10.098312
2068	26941	561	3	2021-10-06 08:59:10.098312
2069	52526	626	1	2021-10-06 08:59:10.098312
2070	13983	287	2	2021-10-06 08:59:10.098312
2071	66773	639	2	2021-10-06 08:59:10.098312
2072	70462	546	3	2021-10-06 08:59:10.098312
2073	37230	576	2	2021-10-06 08:59:10.098312
2074	42535	247	4	2021-10-06 08:59:10.098312
2075	35887	132	4	2021-10-06 08:59:10.098312
2076	42047	240	2	2021-10-06 08:59:10.098312
2077	50827	525	1	2021-10-06 08:59:10.098312
2078	28333	247	2	2021-10-06 08:59:10.098312
2079	23123	9	3	2021-10-06 08:59:10.098312
2080	42079	24	3	2021-10-06 08:59:10.098312
2081	76720	244	4	2021-10-06 08:59:10.098312
2082	2125	466	2	2021-10-06 08:59:10.098312
2083	8765	799	2	2021-10-06 08:59:10.098312
2084	31684	896	4	2021-10-06 08:59:10.098312
2085	48559	786	4	2021-10-06 08:59:10.098312
2086	1955	193	3	2021-10-06 08:59:10.098312
2087	43024	277	2	2021-10-06 08:59:10.098312
2088	98601	167	2	2021-10-06 08:59:10.098312
2089	79504	656	2	2021-10-06 08:59:10.098312
2090	16244	688	2	2021-10-06 08:59:10.098312
2091	45562	818	4	2021-10-06 08:59:10.098312
2092	8894	474	3	2021-10-06 08:59:10.098312
2093	9244	627	2	2021-10-06 08:59:10.098312
2094	30111	600	3	2021-10-06 08:59:10.098312
2095	44975	829	1	2021-10-06 08:59:10.098312
2096	91265	626	0	2021-10-06 08:59:10.098312
2097	80813	528	2	2021-10-06 08:59:10.098312
2098	27877	369	1	2021-10-06 08:59:10.098312
2099	27655	221	2	2021-10-06 08:59:10.098312
2100	54555	728	1	2021-10-06 08:59:10.098312
2101	43220	15	2	2021-10-06 08:59:10.098312
2102	80913	872	1	2021-10-06 08:59:10.098312
2103	48573	458	5	2021-10-06 08:59:10.098312
2104	71720	340	1	2021-10-06 08:59:10.098312
2105	87256	76	4	2021-10-06 08:59:10.098312
2106	35724	997	4	2021-10-06 08:59:10.098312
2107	29903	126	0	2021-10-06 08:59:10.098312
2108	34265	990	2	2021-10-06 08:59:10.098312
2109	93762	366	0	2021-10-06 08:59:10.098312
2110	6017	292	3	2021-10-06 08:59:10.098312
2111	67489	107	1	2021-10-06 08:59:10.098312
2112	2304	108	2	2021-10-06 08:59:10.098312
2113	82802	728	3	2021-10-06 08:59:10.098312
2114	65340	481	3	2021-10-06 08:59:10.098312
2115	72724	654	2	2021-10-06 08:59:10.098312
2116	27220	980	3	2021-10-06 08:59:10.098312
2117	91635	557	4	2021-10-06 08:59:10.098312
2118	224	592	5	2021-10-06 08:59:10.098312
2119	17463	696	4	2021-10-06 08:59:10.098312
2120	94759	84	4	2021-10-06 08:59:10.098312
2121	2522	765	0	2021-10-06 08:59:10.098312
2122	40797	622	4	2021-10-06 08:59:10.098312
2123	25698	152	4	2021-10-06 08:59:10.098312
2124	98306	980	4	2021-10-06 08:59:10.098312
2125	61149	638	4	2021-10-06 08:59:10.098312
2126	5483	332	1	2021-10-06 08:59:10.098312
2127	84466	19	0	2021-10-06 08:59:10.098312
2128	8700	919	3	2021-10-06 08:59:10.098312
2129	17721	647	1	2021-10-06 08:59:10.098312
2130	14701	545	3	2021-10-06 08:59:10.098312
2131	80747	890	1	2021-10-06 08:59:10.098312
2132	19442	402	3	2021-10-06 08:59:10.098312
2133	43164	645	0	2021-10-06 08:59:10.098312
2134	92507	530	4	2021-10-06 08:59:10.098312
2135	82544	434	3	2021-10-06 08:59:10.098312
2136	22157	325	1	2021-10-06 08:59:10.098312
2137	78202	35	5	2021-10-06 08:59:10.098312
2138	48940	340	2	2021-10-06 08:59:10.098312
2139	9449	522	1	2021-10-06 08:59:10.098312
2140	5683	52	2	2021-10-06 08:59:10.098312
2141	96458	355	3	2021-10-06 08:59:10.098312
2142	3337	514	2	2021-10-06 08:59:10.098312
2143	49693	267	3	2021-10-06 08:59:10.098312
2144	35823	622	4	2021-10-06 08:59:10.098312
